backbone_id	n_new_countries_recomputed	time_to_first_new_country_years	time_to_third_new_country_years	event_within_1y_label	event_within_3y_label	event_within_5y_label	three_countries_within_3y_label	three_countries_within_5y_label	spread_severity_bin
AA122	9	3.0	5.0						
AA454	13	2.0	4.0						
AA619	39	1.0	2.0	1.0	1.0	1.0	1.0	1.0	3.0
AC288	4	6.0	7.0						
AA277	26	1.0	2.0						
AA996	7	1.0	2.0						
AA751	4	3.0	4.0						
AA902	4	3.0	4.0						
AA927	4	4.0	8.0						
AF516	0								
AD387	2	3.0							
AF474	3	3.0	8.0						
AB920	3	4.0	7.0						
AB530	6	3.0	4.0						
AB685	28	1.0	2.0	1.0	1.0	1.0	1.0	1.0	3.0
AA670	12	2.0	4.0						
AD480	12	4.0	4.0						
AA153	7	4.0	5.0						
AA887	23	1.0	2.0						
AA190	11	1.0	2.0						
AB272	18	1.0	2.0	1.0	1.0	1.0	1.0	1.0	3.0
AH133	0								
AE720	1	6.0							
AE100	0								
AD891	3	2.0	7.0	0.0	1.0	1.0	0.0	0.0	2.0
AD579	12	2.0	3.0						
AA337	17	1.0	3.0						
AA579	34	1.0	1.0	1.0	1.0	1.0	1.0	1.0	3.0
AD451	8	4.0	6.0						
AA321	5	3.0	5.0						
AA476	4	2.0	6.0						
AA176	26	1.0	2.0	1.0	1.0	1.0	1.0	1.0	3.0
AA525	13	1.0	5.0	1.0	1.0	1.0	0.0	1.0	3.0
AA334	11	2.0	5.0						
AA971	7	4.0	6.0						
AB440	5	1.0	5.0						
AE928	14	2.0	2.0						
AB240	5	1.0	7.0						
AA977	25	1.0	2.0	1.0	1.0	1.0	1.0	1.0	3.0
AB241	12	1.0	4.0	1.0	1.0	1.0	0.0	1.0	3.0
AB687	20	1.0	4.0	1.0	1.0	1.0	0.0	1.0	3.0
AC748	36	1.0	2.0						
AA979	21	2.0	3.0						
AA324	25	2.0	3.0	0.0	1.0	1.0	1.0	1.0	3.0
AA974	16	1.0	2.0						
AC120	22	3.0	3.0	0.0	1.0	1.0	1.0	1.0	3.0
AA282	23	1.0	2.0	1.0	1.0	1.0	1.0	1.0	3.0
AD092	1	8.0		0.0	0.0	0.0	0.0	0.0	1.0
AA147	22	1.0	2.0						
AD158	14	2.0	3.0	0.0	1.0	1.0	1.0	1.0	3.0
AA552	21	1.0	2.0						
AE235	8	4.0	5.0						
AC511	8	4.0	4.0						
AA735	16	1.0	2.0						
AA942	11	1.0	2.0						
AA998	23	2.0	2.0	0.0	1.0	1.0	1.0	1.0	3.0
AE334	7	3.0	4.0	0.0	1.0	1.0	0.0	1.0	3.0
AB728	3	5.0	6.0						
AB633	9	2.0	5.0						
AD080	4	2.0	6.0						
AD279	7	1.0	5.0	1.0	1.0	1.0	0.0	1.0	3.0
AC596	3	4.0	5.0						
AB337	10	1.0	3.0	1.0	1.0	1.0	1.0	1.0	3.0
AD350	5	5.0	7.0	0.0	0.0	1.0	0.0	0.0	3.0
AA423	5	2.0	5.0						
AG445	6	2.0	5.0	0.0	1.0	1.0	0.0	1.0	3.0
AD280	9	2.0	4.0	0.0	1.0	1.0	0.0	1.0	3.0
AB542	6	4.0	5.0						
AA766	5	4.0	5.0						
AA839	2	3.0							
AG098	0								
AG009	2	1.0							
AB155	6	3.0	5.0						
AE252	3	2.0	7.0	0.0	1.0	1.0	0.0	0.0	2.0
AC612	1	1.0							
AC686	9	2.0	3.0	0.0	1.0	1.0	1.0	1.0	3.0
AB408	6	4.0	5.0						
AC847	5	2.0	5.0						
AD552	1	7.0							
AB093	1	7.0							
AD553	1	6.0							
AC784	1	6.0							
AA957	1	6.0							
AD877	1	6.0							
AC783	1	6.0							
AC828	5	2.0	6.0						
AC381	5	2.0	6.0						
AD486	12	1.0	5.0						
AA800	19	1.0	2.0						
AA409	6	1.0	4.0	1.0	1.0	1.0	0.0	1.0	3.0
AG084	1	5.0							
AF742	4	3.0	6.0						
AC410	3	7.0	8.0	0.0	0.0	0.0	0.0	0.0	2.0
AF741	2	3.0							
AA896	3	4.0	6.0						
AF513	0								
AB604	3	1.0	7.0						
AC321	12	1.0	2.0						
AC108	5	1.0	5.0						
AC054	2	7.0							
AC053	0								
AC056	2	5.0		0.0	0.0	1.0	0.0	0.0	1.0
AF103	3	5.0	8.0						
AB319	3	4.0	4.0	0.0	0.0	1.0	0.0	1.0	2.0
AE388	7	1.0	6.0						
AE665	2	7.0							
AG753	2	4.0							
AA361	3	3.0	7.0						
AA746	6	3.0	4.0						
AD513	1	4.0							
AH421	1	5.0							
AE305	1	3.0							
AF316	1	6.0							
AF436	0								
AE075	3	5.0	8.0	0.0	0.0	1.0	0.0	0.0	2.0
AB859	4	4.0	7.0	0.0	0.0	1.0	0.0	0.0	2.0
AF428	8	1.0	2.0	1.0	1.0	1.0	1.0	1.0	3.0
AE246	3	1.0	6.0						
AB360	1	7.0							
AC073	5	5.0	6.0						
AD838	2	6.0		0.0	0.0	0.0	0.0	0.0	1.0
AA036	7	1.0	4.0						
AG696	2	3.0							
AF599	2	1.0							
AE413	1	3.0							
AC707	3	4.0	5.0						
