backbone_id	n_training_records	complete_fraction	duplicate_fraction	change_flag_fraction	duplicate_completeness_score
AA323	2	0.0	0.0	1.0	0.3
AA330	2	0.0	0.0	1.0	0.3
AA353	2	0.0	0.0	1.0	0.3
AA387	2	0.0	0.0	1.0	0.3
AA424	2	0.0	0.0	1.0	0.3
AA425	2	0.0	0.0	1.0	0.3
AA434	2	0.0	0.0	1.0	0.3
AA452	2	0.0	0.0	1.0	0.3
AA472	2	0.0	0.0	1.0	0.3
AA517	2	0.0	0.0	1.0	0.3
AA520	2	0.0	0.0	1.0	0.3
AA521	2	0.0	0.0	1.0	0.3
AA539	2	0.0	0.0	1.0	0.3
AA553	2	0.0	0.0	1.0	0.3
AA597	2	0.0	0.0	1.0	0.3
AA604	2	0.0	0.0	1.0	0.3
AA613	2	0.0	0.0	1.0	0.3
AA618	2	0.0	0.0	1.0	0.3
AA659	2	0.0	0.0	1.0	0.3
AA660	2	0.0	0.0	1.0	0.3
AA680	2	0.0	0.0	1.0	0.3
AA690	2	0.0	0.0	1.0	0.3
AA696	2	0.0	0.0	1.0	0.3
AA729	2	0.0	0.0	1.0	0.3
AA731	2	0.0	0.0	1.0	0.3
AA759	2	0.0	0.0	1.0	0.3
AA768	2	0.0	0.0	1.0	0.3
AA782	2	0.0	0.0	1.0	0.3
AA794	2	0.0	0.0	1.0	0.3
AA833	2	0.0	0.0	1.0	0.3
AA841	2	0.0	0.0	1.0	0.3
AA850	2	0.0	0.0	1.0	0.3
AA887	2	0.0	0.0	1.0	0.3
AA888	2	0.0	0.0	1.0	0.3
AA896	2	0.0	0.0	1.0	0.3
AA937	2	0.0	0.0	1.0	0.3
AA938	2	0.0	0.0	1.0	0.3
AA951	2	0.0	0.0	1.0	0.3
AA967	2	0.0	0.0	1.0	0.3
AA968	2	0.0	0.0	1.0	0.3
AA973	2	0.0	0.0	1.0	0.3
AB001	2	0.0	0.0	1.0	0.3
AB007	2	0.0	0.0	1.0	0.3
AB018	2	0.0	0.0	1.0	0.3
AB020	2	0.0	0.0	1.0	0.3
AB039	2	0.0	0.0	1.0	0.3
AB071	2	0.0	0.0	1.0	0.3
AB072	2	0.0	0.0	1.0	0.3
AB110	2	0.0	0.0	1.0	0.3
AB111	2	0.0	0.0	1.0	0.3
AB127	2	0.0	0.0	1.0	0.3
AB143	2	0.0	0.0	1.0	0.3
AB155	2	0.0	0.0	1.0	0.3
AB159	2	0.0	0.0	1.0	0.3
AB169	2	0.0	0.0	1.0	0.3
AB186	2	0.0	0.0	1.0	0.3
AB187	2	0.0	0.0	1.0	0.3
AB190	2	0.0	0.0	1.0	0.3
AB209	2	0.0	0.0	1.0	0.3
AB257	2	0.0	0.0	1.0	0.3
AB258	2	0.0	0.0	1.0	0.3
AB269	2	0.0	0.0	1.0	0.3
AB280	2	0.0	0.0	1.0	0.3
AB285	2	0.0	0.0	1.0	0.3
AB304	2	0.0	0.0	1.0	0.3
AB324	2	0.0	0.0	1.0	0.3
AB361	2	0.0	0.0	1.0	0.3
AB371	2	0.0	0.0	1.0	0.3
AB397	2	0.0	0.0	1.0	0.3
AB410	2	0.0	0.0	1.0	0.3
AB430	2	0.0	0.0	1.0	0.3
AB438	2	0.0	0.0	1.0	0.3
AB444	2	0.0	0.0	1.0	0.3
